Gal	SN	Nc	Date	zhel	zcmb	sBV	e_sBV	dm15(B)	e_dm15(B)	Vmax	e_Vmax	EBV	e_EBV	Rv	e_Rv	covER	muCV	e_muCV	Q	_RA	_DE
M101	SN 2011fe	251	03.03.2013	0.0008	0.00121	0.946	0.03	1.068	0.06	9.968	0.003	0.117	0.014	0.9	0.4	-0.0031	29.11	0.87	0.98	210.7738	54.27367
N1015	SN 2009ig	14	30.06.2013	0.0088	0.00804	1.108	0.034	0.844	0.062	13.37	0.008	0.086	0.016	1.9	0.7	-0.0027	32.66	0.13	0.96	39.54843	-1.31257
N1309	SN 2002fk	44	24.07.2010	0.00712	0.00661	0.979	0.03	1.044	0.079	13.269	0.006	0.03	0.011	2.6	1.2	-0.0024	32.45	0.16	0.98	50.52379	-15.40089
N1365	SN 2012fr	32	06.08.2013	0.00545	0.00513	1.116	0.03	0.844	0.06	11.951	0.004	0.039	0.014	2	1.1	-0.0036	31.28	0.19	0.98	53.39996	-36.12714
N1448	SN 2001el	54	15.09.2013	0.0039	0.00368	0.952	0.031	1.052	0.061	12.653	0.006	0.291	0.016	2.2	0.3	-0.0029	31.26	0.27	0.98	56.1275	-44.63983
N2442	SN 2015F	141	21.01.2016	0.00489	0.00528	0.847	0.03	1.303	0.06	12.663	0.006	0.203	0.075	2.3	0.6	-0.0068	31.23	0.18	0.69	114.06567	-69.50639
N3021	SN 1995al	18	03.06.2010	0.005	0.00588	1.126	0.034	0.891	0.061	13.213	0.008	0.182	0.017	2	0.7	-0.0031	32.29	0.23	0.94	147.73321	33.55261
N3370	SN 1994ae	63	04.04.2010	0.004	0.00512	1.046	0.031	0.918	0.061	13.073	0.008	0.187	0.018	1.7	0.7	-0.0042	32.09	0.26	0.98	161.75808	17.27522
N3447	SN 2012ht	80	15.12.2013	0.00356	0.00468	0.853	0.03	1.194	0.06	12.995	0.006	0.034	0.011	2.1	1.1	-0.0041	32.08	0.18	0.96	163.34479	16.77636
N3972	SN 2011by	42	19.04.2015	0.00284	0.00341	0.956	0.03	1.047	0.066	12.836	0.006	0.139	0.014	1.8	0.4	-0.0031	31.84	0.3	0.95	178.93983	55.32606
N3982	SN 1998aq	16	04.08.2009	0.0037	0.00426	0.949	0.03	1.046	0.06	12.433	0.006	0.025	0.012	2	1.3	-0.0008	31.55	0.27	0.95	179.10779	55.12867
N4038	SN 2007sr	13	22.01.2010	0.00547	0.00666	0.989	0.035	0.981	0.07	12.606	0.034	0.183	0.028	1.3	0.5	-0.0087	31.72	0.13	0.6	180.47	-18.97269
N4424	SN 2012cg	3	08.01.2014	0.00146	0.00258	1.056	0.031	0.772	0.062	11.929	0.006	0.162	0.015	2.9	0.4	-0.0043	30.84	0.38	0.89	186.80346	9.42033
N4536	SN 1981B	33	19.07.2010	0.00603	0.00717	0.921	0.031	1.14	0.062	11.886	0.007	0.147	0.023	1.7	0.5	-0.0065	30.89	0.15	0.98	188.62321	2.19981
N4639	SN 1990N	25	07.08.2009	0.003	0.00407	1.122	0.031	0.961	0.061	12.677	0.007	0.128	0.016	2.3	0.7	-0.0021	31.78	0.29	0.92	190.73617	13.2565
N5584	SN 2007af	83	04.04.2010	0.00546	0.00629	0.926	0.03	1.084	0.061	13.054	0.005	0.166	0.015	2	0.4	-0.0036	31.98	0.14	0.95	215.58762	-0.39378
N5917	SN 2005cf	13	20.05.2013	0.00646	0.00704	0.97	0.031	1.039	0.102	13.21	0.007	0.093	0.019	2.3	0.6	-0.0062	32.33	0.15	0.98	230.388	-7.44919
N7250	SN 2013dy	22	12.10.2013	0.00389	0.00288	1.099	0.031	0.844	0.06	12.561	0.005	0.244	0.028	2.9	0.5	-0.0112	31.28	0.34	0.94	334.57333	40.56933
U9391	SN 2003du	28	14.12.2012	0.00638	0.00665	1.006	0.03	0.979	0.06	13.534	0.004	0.025	0.013	1	1.3	-0.0063	32.84	0.16	0.98	218.64917	59.33439
